id,name,categories,prices
AWOpWM18YSSHbkXw09Yj,Samsung 850 EVO 2TB 2.5-Inch SATA III Internal SSD (MZ-75E2T0B/AM),"Internal Solid State Drives,Solid State Drives,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Hard Drives & Storage,Data Storage",749.99
AWOpOCd2YSSHbkXw07ei,Samsung - 850 PRO 512GB Internal SATA III Solid State Drive for Laptops,"Internal Solid State Drives,Solid State Drives,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Hard Drives & Storage,Data Storage",224.99
AWOpMDbqYSSHbkXw06lc,StarTech - 2 Port PCI IDE Controller Adapter Card - Green,"Computers & Accessories,Electronics,Computers & Tablets,Racks, Mounts & Accessories,Networking Products,Network Adapters,Computer Cards & Components",51.99
AWOpLyzrHh53nbDRKmTD,"Samsung - 65 Class - LED - Curved - MU7500 Series - 2160p - Smart - 4K UHD TV with HDR""","LED & LCD TVs,TVs,Refurbished TVs,TV & Video,Samsung Tax Time Savings,Electronics,Shop TVs by Type,Television & Video,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs",1897.99
AWOmw9PhHh53nbDRKld5,Details About Razer Cynosa Chroma Rgb Gaming Keyboard Spillresistant Durable Design,"Accessories,Computers/Tablets & Networking,Keyboards, Mice & Pointers,Mice & Keyboards,Computer Accessories & Peripherals,Video Games,Computer Keyboards,Wired & USB Keyboards,Keyboards & Keypads,Computers & Tablets,Gaming Keyboards",48.95
AWOUVe5cuC1rwyj_rmlB,Sony SELP18105G E PZ 18-105mm F4 G OSS,"Mirrorless System Lenses,Digital Camera Accessories,All Camera Lenses,Electronics,Camera & Photo,Cameras & Camcorders,Photography,Digital Cine Cameras,Lenses zrvzcfdefdtafswscwwz,Professional Video,Camera Lenses,Lenses,Mirrorless Camera Lenses",599.99
AWOTVpQiIwln0LfXm3OV,Canon EF 100mm f/2.8L IS USM Macro Lens for Canon Digital SLR Cameras,"Prime Lenses,Camera Accessories,Cameras & Photo,Digital Camera Accessories,All Camera Lenses,SLR Lenses,Electronics,Camera & Photo,DSLR Lenses,Cameras & Camcorders,Photography,Lenses & Filters,Digital Camera Lenses,Camera Lenses,Lenses",1144
AWN6PKWauC1rwyj_rgtt,Samsung - 850 PRO 1TB Internal SATA III Solid State Drive for Laptops,"Computers,Internal Solid State Drives,Internal Drives,Solid State Drives,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Hard Drives & Storage,Drives Storage,Data Storage",449
AWMjgUYxHh53nbDRJ9NI,Logitech - G560 LIGHTSYNC 2.1 Bluetooth Gaming Speakers with Game Driven RGB Lighting (3-Piece) - Black,"Audio & Video Accessories,Computers & Accessories,Computer Accessories & Peripherals,Computers & Tablets,Electronics,Computer Speakers",199.99
AWMZjqTQYSSHbkXw0Ixv,Under Armour Sport Wireless Flex Neckband In-Ear Headphones,"Headphones,Bluetooth Headphones,All Headphones,Earbud Headphones,Electronics,Audio,Mobile",129.99
